职业生涯规划管理实务手册,孙宗虎,人民邮电出版社,2009,33,F
招聘、面试与录用管理实务手册,孙宗虎,人民邮电出版社,2009,32,F
培训课程开发实务手册,罗辉,人民邮电出版社,2009,27,F
员工手册编写范本,刘立梅,人民邮电出版社,2009,29,F
ASP.NET3.5入门经典,米切尔,人民邮电出版社,2009,42,T
CSS与HTMLWeb设计实践指南,格兰雷尔,人民邮电出版社,2009,49,T
AdobeFlashCS4ActionScript3.0中文版经典教程,井中月,人民邮电出版社,2009,39,T
AdobeFlashCS4中文版经典教程,陈宗斌,人民邮电出版社,2009,39,T
复分析,尼达姆,人民邮电出版社,2009,79,O
AdobeInDesignCS4中文版经典教程,张海燕,人民邮电出版社,2009,39,T
IPv6详解,李清,人民邮电出版社,2009,128,T
ADOBEINDESIGNCS4标准培训教材,吴祖武,人民邮电出版社,2009,42,T
金蝶ERP-K/3标准财务模拟实训,龚中华,人民邮电出版社,2009,39.8,F
金蝶ERP-K/3标准财务培训教程,龚中华,人民邮电出版社,2009,39.8,F
博客园精华集,阿一,人民邮电出版社,2009,35,T
百年股市涨跌录,罗斯丹,人民邮电出版社,2009,25,F
经济学,帕金,人民邮电出版社,2009,99,F
大卫·李嘉图,韩媛媛,人民邮电出版社,2009,24,F
编码理论,诺伊鲍尔,人民邮电出版社,2009,49,O
AdobeAcrobat9中文版经典教程,杨晓珂,人民邮电出版社,2009,39,T
管理学,戈麦斯-梅希亚,人民邮电出版社,2009,68,C
音频制作软件应用手册,柯林斯,人民邮电出版社,2009,68,J
基于内容的多媒体信息索引与检索概论,肖明,人民邮电出版社,2009,45,G
ADOBEFLASHCS4PROFESSIONAL标准培训教材,薛欣,人民邮电出版社,2009,36,T
当会计就是这么简单,张玲,人民邮电出版社,2009,28,F
用友ERP-U8(8.61版)实务操作从入门到精通,龚中华,人民邮电出版社,2009,45,F
Spring揭秘,王福强,人民邮电出版社,2009,99,T
数码摄影师生存手册,查维斯,人民邮电出版社,2009,88,T
录音师实战技巧,克里奇,人民邮电出版社,2009,45,T
淘宝网商品照片拍摄与店铺装修指南,黎文锋,人民邮电出版社,2009,59,F
像他们一样创业,唐华山,人民邮电出版社,2009,29.8,F
PhotoshopCS4数码人像精修实例精讲,雷剑,人民邮电出版社,2009,59,T
Avid数字非线性编辑,考夫曼,人民邮电出版社,2009,80,J
网页设计与制作,王君学,人民邮电出版社,2009,33,T
打造超人气网店,何秀丽,人民邮电出版社,2009,49,F
跨文化社会心理学,史密斯,人民邮电出版社,2009,48,C
美女摄影用光教程,伍振荣,人民邮电出版社,2009,49,J
深入浅出jBPM,高杰,人民邮电出版社,2009,59,F
巧用jQuery,吴超,人民邮电出版社,2009,42,T
小企业会计核算实务,陈兰,人民邮电出版社,2009,38,F
CSS精粹,安德鲁,人民邮电出版社,2009,39,T
数字版权管理技术原理与应用,冯明,人民邮电出版社,2009,38,D
AdobeIllustratorCS4中文版经典教程,张海燕,人民邮电出版社,2009,39,T
2010年计算机学科专业基础考研辅导,张丽芬,人民邮电出版社,2009,56,T
ADOBEPREMIEREPROCS4标准培训教材,ACAA专家委员会,人民邮电出版社,2009,42,T
网店赢家的110个技巧,上海伟雅,人民邮电出版社,2009,28,F
苹果MacOSX10.5Leopard玩家手册,凯尔比,人民邮电出版社,2009,38,T
3dsMax+VRay效果图制作从入门到精通,王玉梅,人民邮电出版社,2009,59,T
AutoCAD2009中文版建筑电气工程制图实例精解,杨萍,人民邮电出版社,2009,28,T
光纤接入网规划设计手册,王庆,人民邮电出版社,2009,38,T
TD-SCDMA无线网络评估与优化,万斌,人民邮电出版社,2009,78,T
亚当·斯密,于中鑫,人民邮电出版社,2009,20,F
TVart技法Maya/AfterEffects影视包装技术解析,郭术生,人民邮电出版社,2009,98,T
走进业余无线电,徐辉,人民邮电出版社,2009,19,T
AutoCAD2009机械设计实战从入门到精通,张传记,人民邮电出版社,2009,59,T
黑客新型攻击防范,雅各布森,人民邮电出版社,2009,69,T
风光摄影创作艺术,谢泼德,人民邮电出版社,2009,69,J
打造超人气网店,何秀丽,人民邮电出版社,2009,59,F
TD-HSPA技术揭秘,段红光,人民邮电出版社,2009,35,T
视频技术手册,杰克,人民邮电出版社,2009,119,T
地面数字电视传输技术与系统,杨知行,人民邮电出版社,2009,56,T
RedHatEnterpriseLinux服务器配置与管理,张栋,人民邮电出版社,2009,45,T
大学计算机基础,甘勇,人民邮电出版社,2009,37,T
电子节能灯与电子镇流器设计与制造,陈传虞,人民邮电出版社,2009,58,T
LTE空中接口技术与性能,张新程,人民邮电出版社,2009,56,T
重构HTML,哈罗德,人民邮电出版社,2009,45,T
AdobePhotoshopCS4中文版经典教程,张海燕,人民邮电出版社,2009,39,T
PhotoshopCS4数码照片专业处理技法,凯尔比,人民邮电出版社,2009,79,T
VisualStudio技术大全,鲍尔斯,人民邮电出版社,2009,99,T
Flex3程序设计,布朗,人民邮电出版社,2009,65,T
变幻之美,金峰,人民邮电出版社,2009,45,T
黑客攻防技术宝典,斯图塔德,人民邮电出版社,2009,69,T
设计师生存手册IllustratorCS4,戈尔丁,人民邮电出版社,2009,55,T
绿色IT,韦尔特,人民邮电出版社,2009,48,X
数码摄影精要,萨蒙,人民邮电出版社,2009,55,T
动画,韦伯斯特,人民邮电出版社,2009,49,J
信用制度深度透视,车耳,人民邮电出版社,2009,29.8,F
深入Ajax,劳里亚特,人民邮电出版社,2009,49,T
3dsMax&SketchUp室外建模火星课堂,火星时代,人民邮电出版社,2009,128,T
JSP与JSF基础教程,赞邦,人民邮电出版社,2009,59,T
成功软件项目管理的奥秘,威格斯,人民邮电出版社,2009,45,T
数码单反摄影从入门到精通,神龙摄影,人民邮电出版社,2009,89,T
中文版AutoCAD2009完全自学教程,张友龙,人民邮电出版社,2009,49,T
微型计算机原理及应用,高洪志,人民邮电出版社,2009,32,T
PhotoshopCS4平面设计入门与实战,周建国,人民邮电出版社,2009,49,T
PhotoshopCS4数码照片处理入门与实战,晓青,人民邮电出版社,2009,59,T
AdobeAfterEffectsCS4高手之路,李涛,人民邮电出版社,2009,88,T
FlashCS4入门与实战,周建国,人民邮电出版社,2009,49,T
Linux命令详解手册,尼格斯,人民邮电出版社,2009,39,T
JavaFX本质论,安德森,人民邮电出版社,2009,55,T
发现网络创业蓝海,朱荺,人民邮电出版社,2009,35,K
销售人员绩效量化考核全案,孙宗虎,人民邮电出版社,2009,69,F
心理学精要,迈尔斯,人民邮电出版社,2009,68,B
工厂精细化管理全案,姚小风,人民邮电出版社,2009,70,F
现代密码学,何大可,人民邮电出版社,2009,24,T
JavaME基础教程,里施佩特,人民邮电出版社,2009,59,T
首先，发现你的创业优势,唐华山,人民邮电出版社,2009,28,F
精通Dojo,吉尔,人民邮电出版社,2009,69,T
20大部门绩效考核指标设计全案,赵淑芳,人民邮电出版社,2009,33,F
